time,open,high,low,close,volume
2026-08-24T13:00:00+00:00,4662.95,4680.81,4656.16,4664.84,15863
2026-08-24T14:00:00+00:00,4664.77,4678.75,4655.48,4670.29,15415
2026-08-24T15:00:00+00:00,4670.32,4679.84,4639.9,4649.08,14548
2026-08-24T16:00:00+00:00,4649.08,4662.33,4641.99,4644.86,12669
2026-08-24T17:00:00+00:00,4644.95,4655.27,4630.42,4636.61,13921
2026-08-24T18:00:00+00:00,4636.59,4642.32,4625.13,4636.72,12465
2026-08-24T19:00:00+00:00,4636.52,4656.01,4635.85,4651.83,11938
2026-08-24T20:00:00+00:00,4651.91,4655.37,4646.98,4651.57,5924
2026-08-24T22:00:00+00:00,4655.24,4668.62,4652.18,4667.88,5504
2026-08-24T23:00:00+00:00,4667.88,4682.6,4666.76,4680.17,8246
2026-08-25T00:00:00+00:00,4680.0,4696.67,4675.34,4684.37,13516
2026-08-25T01:00:00+00:00,4684.35,4686.6,4656.51,4658.15,14654
2026-08-25T02:00:00+00:00,4657.87,4661.54,4617.94,4629.77,14581
2026-08-25T03:00:00+00:00,4629.77,4641.46,4622.23,4633.7,11667
2026-08-25T04:00:00+00:00,4633.71,4637.91,4623.76,4625.96,10170
2026-08-25T05:00:00+00:00,4625.84,4648.06,4623.95,4643.14,11898
2026-08-25T06:00:00+00:00,4643.13,4653.63,4637.05,4638.39,11652
2026-08-25T07:00:00+00:00,4638.27,4643.9,4629.8,4630.15,11124
2026-08-25T08:00:00+00:00,4630.15,4645.53,4620.03,4630.31,12500
2026-08-25T09:00:00+00:00,4630.33,4642.63,4624.07,4636.51,12146
2026-08-25T10:00:00+00:00,4636.58,4642.46,4632.85,4639.4,9761
2026-08-25T11:00:00+00:00,4639.33,4647.56,4636.72,4642.46,10230
2026-08-25T12:00:00+00:00,4642.46,4644.22,4630.13,4640.92,11943
2026-08-25T13:00:00+00:00,4640.72,4641.31,4605.31,4616.71,15791
2026-08-25T14:00:00+00:00,4616.72,4640.06,4613.39,4635.67,15237
