time,open,high,low,close,volume
2026-09-14T12:45:00+00:00,4283.43,4283.73,4265.73,4271.05,3721
2026-09-14T13:00:00+00:00,4271.13,4272.86,4253.58,4266.16,4087
2026-09-14T13:15:00+00:00,4266.29,4277.83,4263.79,4273.2,3694
2026-09-14T13:30:00+00:00,4273.89,4278.48,4266.94,4275.02,4110
2026-09-14T13:45:00+00:00,4274.99,4281.21,4269.76,4272.73,4060
2026-09-14T14:00:00+00:00,4272.48,4282.04,4264.92,4281.87,4001
2026-09-14T14:15:00+00:00,4281.49,4283.06,4263.98,4270.13,3898
2026-09-14T14:30:00+00:00,4270.19,4277.15,4266.72,4276.91,3766
2026-09-14T14:45:00+00:00,4276.82,4279.65,4274.14,4279.64,3736
2026-09-14T15:00:00+00:00,4279.88,4286.41,4272.53,4276.9,3964
2026-09-14T15:15:00+00:00,4276.91,4284.91,4272.49,4283.66,3594
2026-09-14T15:30:00+00:00,4283.34,4298.19,4282.58,4294.17,4011
2026-09-14T15:45:00+00:00,4294.14,4295.25,4286.32,4288.27,3573
2026-09-14T16:00:00+00:00,4288.29,4297.85,4286.31,4294.33,3445
2026-09-14T16:15:00+00:00,4294.28,4305.31,4294.28,4300.03,3522
2026-09-14T16:30:00+00:00,4300.01,4308.23,4299.37,4306.06,3330
2026-09-14T16:45:00+00:00,4306.08,4317.9,4304.67,4315.73,3776
2026-09-14T17:00:00+00:00,4315.81,4316.69,4311.28,4311.28,3260
2026-09-14T17:15:00+00:00,4311.11,4314.3,4309.19,4311.71,3325
2026-09-14T17:30:00+00:00,4311.82,4313.81,4307.68,4309.81,3081
2026-09-14T17:45:00+00:00,4309.91,4314.07,4308.55,4311.19,2927
2026-09-14T18:00:00+00:00,4311.26,4315.4,4308.3,4312.7,2970
2026-09-14T18:15:00+00:00,4312.65,4312.77,4306.32,4309.86,2708
2026-09-14T18:30:00+00:00,4309.89,4313.38,4308.58,4309.56,2648
2026-09-14T18:45:00+00:00,4309.48,4309.92,4304.7,4307.31,2632
2026-09-14T19:00:00+00:00,4307.31,4307.95,4302.68,4305.97,2555
2026-09-14T19:15:00+00:00,4306.0,4306.03,4296.05,4296.52,2607
2026-09-14T19:30:00+00:00,4296.54,4297.59,4290.44,4291.99,2835
2026-09-14T19:45:00+00:00,4292.0,4292.09,4282.93,4284.02,3124
2026-09-14T20:00:00+00:00,4283.72,4288.65,4282.19,4287.58,2140
2026-09-14T20:15:00+00:00,4287.77,4298.34,4287.77,4296.56,1962
2026-09-14T20:30:00+00:00,4296.98,4299.7,4294.36,4294.69,1599
2026-09-14T20:45:00+00:00,4294.8,4299.63,4294.72,4298.96,1562
2026-09-14T22:00:00+00:00,4300.1,4300.63,4296.35,4296.85,1673
2026-09-14T22:15:00+00:00,4296.85,4298.55,4292.65,4295.56,1858
2026-09-14T22:30:00+00:00,4295.58,4298.78,4293.59,4295.76,1788
2026-09-14T22:45:00+00:00,4295.49,4298.44,4293.24,4295.54,1729
2026-09-14T23:00:00+00:00,4295.49,4297.46,4290.74,4292.13,2150
